"year","sex","age","deaths"
2015,"male",25,119.234356612371
2015,"male",30,149.293438111288
2015,"male",35,200.393876659446
2015,"male",40,225.138164038265
2015,"male",45,279.549457939928
2015,"male",50,303.203596318653
2015,"male",55,389.766090102623
2015,"male",60,363.714886136895
2015,"male",65,384.756243186137
2015,"male",70,455.896069400241
2015,"male",75,418.823202218243
2015,"male",80,471.927579532996
2015,"male",85,728.860988411158
2016,"male",0,247.306310857983
2016,"male",1,40.0496049972442
2016,"male",5,28.0347234980709
2016,"male",10,38.047124747382
2016,"male",15,70.0868087451773
2016,"male",20,141.174857615286
2016,"male",25,142.176097740217
2016,"male",30,157.194699614183
2016,"male",35,188.233143487048
2016,"male",40,234.290189233878
2016,"male",45,291.360876354951
2016,"male",50,338.419162226713
2016,"male",55,421.522092595995
2016,"male",60,452.560536468859
2016,"male",65,463.574177843101
2016,"male",70,502.622542715414
2016,"male",75,480.59525996693
2016,"male",80,452.560536468859
2016,"male",85,759.941254822708
2017,"male",0,212.110021740655
2017,"male",1,41.0212777894663
2017,"male",5,30.0155691142436
2017,"male",10,43.0223157304159
2017,"male",15,95.0493021951048
2017,"male",20,135.070061014096
2017,"male",25,170.088224980714
2017,"male",30,187.097047478785
2017,"male",35,213.11054071113
2017,"male",40,275.818743211969
2017,"male",45,302.156729083386
2017,"male",50,385.199803632793
2017,"male",55,448.232498772705
2017,"male",60,451.234055684129
2017,"male",65,494.256371414545
2017,"male",70,528.274016410688
2017,"male",75,458.237688477453
2017,"male",80,503.261042148818
2017,"male",85,810.420366084578
2018,"male",0,226.037925826481
2018,"male",1,49.0082228561839
2018,"male",5,26.0043631481792
2018,"male",10,34.0057056553113
2018,"male",15,102.017116965934
2018,"male",20,166.02785702299
2018,"male",25,171.028696089948
2018,"male",30,191.032052357778
2018,"male",35,225.037758013089
2018,"male",40,265.04447054875
2018,"male",45,316.053029031717
2018,"male",50,357.059909380769
2018,"male",55,447.075012586004
2018,"male",60,519.087095150193
2018,"male",65,503.084410135929
2018,"male",70,493.082732002014
2018,"male",75,505.084745762712
2018,"male",80,496.083235442188
2018,"male",85,868.145662023829
2019,"male",0,206.753187917125
2019,"male",1,44.0440473772187
2019,"male",5,18.0180193815895
2019,"male",10,28.0280301491392
2019,"male",15,74.0740796798679
2019,"male",20,172.172185201855
2019,"male",25,197.197212120729
2019,"male",30,219.219235809339
2019,"male",35,222.222239039604
2019,"male",40,286.286307951922
2019,"male",45,372.372400552849
2019,"male",50,399.399429625233
2019,"male",55,424.424456544108
2019,"male",60,471.471507151591
2019,"male",65,465.465500691062
2019,"male",70,528.528568526625
2019,"male",75,514.514553452055
2019,"male",80,537.53757821742
